Time Period,Measure Type,Measure,Group,Subgroup,Estimate Type,Estimate,Standard Error,Lower 95% CI,Upper 95% CI,Reliable
Jan.-Jun. 2022,Respiratory Health Indicator,COVID-19 and post-COVID-19 conditions,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",4.4,1.5,1.5,7.3,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,COVID-19 and post-COVID-19 conditions,By race/ethnicity,"Other, non-Hispanic",Visit count,,,,,No
Jan.-Jun. 2022,Respiratory Health Indicator,COVID-19 and post-COVID-19 conditions,By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",,,,,No
Jan.-Jun. 2022,Respiratory Health Indicator,COVID-19 and post-COVID-19 conditions,By race/ethnicity,"White, non-Hispanic",Visit count,261000,77000,110000,412000,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,COVID-19 and post-COVID-19 conditions,By race/ethnicity,"White, non-Hispanic","Visit rate (per 1,000 people)",1.3,0.4,0.6,2.1,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,COVID-19 and post-COVID-19 conditions,By sex,Female,Visit count,485000,101000,288000,683000,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,COVID-19 and post-COVID-19 conditions,By sex,Female,"Visit rate (per 1,000 people)",2.9,0.6,1.7,4.1,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,COVID-19 and post-COVID-19 conditions,By sex,Male,Visit count,275000,60000,158000,393000,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,COVID-19 and post-COVID-19 conditions,By sex,Male,"Visit rate (per 1,000 people)",1.7,0.4,1,2.4,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,Total,All visits,Visit count,203000,58000,90000,317000,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,Total,All visits,"Visit rate (per 1,000 people)",0.6,0.2,0.3,1,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By age,0-17 years old,Visit count,14000,5000,5000,23000,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By age,0-17 years old,"Visit rate (per 1,000 people)",0.2,0.1,0.1,0.3,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By age,18-44 years old,Visit count,26000,7000,13000,40000,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By age,18-44 years old,"Visit rate (per 1,000 people)",0.2,0.1,0.1,0.3,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By age,45-64 years old,Visit count,77000,23000,31000,123000,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By age,45-64 years old,"Visit rate (per 1,000 people)",0.9,0.3,0.4,1.5,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By age,65+ years old,Visit count,86000,28000,31000,141000,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By age,65+ years old,"Visit rate (per 1,000 people)",1.6,0.5,0.6,2.6,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By race/ethnicity,"Black, non-Hispanic",Visit count,,,,,No
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By race/ethnicity,"Black, non-Hispanic","Visit rate (per 1,000 people)",,,,,No
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By race/ethnicity,Hispanic,Visit count,35000,12000,12000,58000,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",0.6,0.2,0.2,0.9,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By race/ethnicity,"Other, non-Hispanic",Visit count,,,,,No
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",,,,,No
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By race/ethnicity,"White, non-Hispanic",Visit count,,,,,No
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By race/ethnicity,"White, non-Hispanic","Visit rate (per 1,000 people)",,,,,No
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By sex,Female,Visit count,114000,34000,46000,181000,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By sex,Female,"Visit rate (per 1,000 people)",0.7,0.2,0.3,1.1,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By sex,Male,Visit count,90000,27000,37000,142000,Yes
Jan.-Jun. 2022,Respiratory Health Indicator,Other respiratory conditions,By sex,Male,"Visit rate (per 1,000 people)",0.6,0.2,0.2,0.9,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,Total,All visits,Visit count,55256000,10127000,35407000,75106000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,Total,All visits,"Visit rate (per 1,000 people)",168.9,31,108.2,229.6,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By age,0-17 years old,Visit count,10401000,1988000,6504000,14298000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By age,0-17 years old,"Visit rate (per 1,000 people)",141.7,27.1,88.6,194.7,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By age,18-44 years old,Visit count,19301000,3455000,12529000,26073000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By age,18-44 years old,"Visit rate (per 1,000 people)",166,29.7,107.8,224.3,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By age,45-64 years old,Visit count,16720000,3195000,10458000,22982000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By age,45-64 years old,"Visit rate (per 1,000 people)",202,38.6,126.4,277.7,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By age,65+ years old,Visit count,8834000,2051000,4815000,12853000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By age,65+ years old,"Visit rate (per 1,000 people)",161.5,37.5,88,234.9,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By race/ethnicity,"Black, non-Hispanic",Visit count,10191000,3659000,3019000,17363000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By race/ethnicity,"Black, non-Hispanic","Visit rate (per 1,000 people)",250.9,89.4,75.6,426.1,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By race/ethnicity,Hispanic,Visit count,19354000,5233000,9097000,29611000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",312.1,82.6,150.1,474.1,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By race/ethnicity,"Other, non-Hispanic",Visit count,2738000,968000,841000,4636000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",90.2,31.6,28.3,152.1,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By race/ethnicity,"White, non-Hispanic",Visit count,18541000,3849000,10998000,26085000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By race/ethnicity,"White, non-Hispanic","Visit rate (per 1,000 people)",95.5,19.1,58,133,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By sex,Female,Visit count,34559000,6535000,21751000,47368000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By sex,Female,"Visit rate (per 1,000 people)",207.9,39.3,130.9,285,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By sex,Male,Visit count,20676000,3633000,13556000,27797000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,All visits,By sex,Male,"Visit rate (per 1,000 people)",128.4,22.6,84.2,172.7,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,Total,All visits,Visit count,2449000,420000,1625000,3272000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,Total,All visits,"Visit rate (per 1,000 people)",7.5,1.3,5,10,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By age,0-17 years old,Visit count,381000,68000,247000,515000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By age,0-17 years old,"Visit rate (per 1,000 people)",5.2,0.9,3.4,7,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By age,18-44 years old,Visit count,1034000,195000,652000,1416000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By age,18-44 years old,"Visit rate (per 1,000 people)",8.9,1.7,5.6,12.2,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By age,45-64 years old,Visit count,740000,133000,478000,1001000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By age,45-64 years old,"Visit rate (per 1,000 people)",8.9,1.6,5.8,12.1,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By age,65+ years old,Visit count,294000,60000,177000,411000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By age,65+ years old,"Visit rate (per 1,000 people)",5.4,1.1,3.2,7.5,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By race/ethnicity,"Black, non-Hispanic",Visit count,597000,197000,211000,983000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By race/ethnicity,"Black, non-Hispanic","Visit rate (per 1,000 people)",14.7,4.8,5.3,24.1,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By race/ethnicity,Hispanic,Visit count,779000,177000,432000,1126000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",12.6,2.7,7.2,17.9,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By race/ethnicity,"Other, non-Hispanic",Visit count,,,,,No
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",,,,,No
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By race/ethnicity,"White, non-Hispanic",Visit count,809000,181000,454000,1164000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By race/ethnicity,"White, non-Hispanic","Visit rate (per 1,000 people)",4.2,0.9,2.4,5.9,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By sex,Female,Visit count,1428000,267000,905000,1952000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By sex,Female,"Visit rate (per 1,000 people)",8.6,1.6,5.4,11.7,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By sex,Male,Visit count,1020000,179000,669000,1371000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Infectious and parasitic diseases,By sex,Male,"Visit rate (per 1,000 people)",6.3,1.1,4.2,8.5,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,Total,All visits,Visit count,810000,190000,436000,1183000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,Total,All visits,"Visit rate (per 1,000 people)",2.5,0.6,1.3,3.6,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By age,0-17 years old,Visit count,51000,16000,20000,82000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By age,0-17 years old,"Visit rate (per 1,000 people)",0.7,0.2,0.3,1.1,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By age,18-44 years old,Visit count,172000,43000,87000,256000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By age,18-44 years old,"Visit rate (per 1,000 people)",1.5,0.4,0.7,2.2,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By age,45-64 years old,Visit count,329000,76000,180000,477000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By age,45-64 years old,"Visit rate (per 1,000 people)",4,0.9,2.2,5.8,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By age,65+ years old,Visit count,259000,65000,132000,385000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By age,65+ years old,"Visit rate (per 1,000 people)",4.7,1.2,2.4,7,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By race/ethnicity,"Black, non-Hispanic",Visit count,149000,54000,44000,254000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By race/ethnicity,"Black, non-Hispanic","Visit rate (per 1,000 people)",3.7,1.3,1.1,6.2,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By race/ethnicity,Hispanic,Visit count,222000,75000,75000,368000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",3.6,1.2,1.3,5.9,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By race/ethnicity,"Other, non-Hispanic",Visit count,,,,,No
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",,,,,No
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By race/ethnicity,"White, non-Hispanic",Visit count,343000,97000,153000,533000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By race/ethnicity,"White, non-Hispanic","Visit rate (per 1,000 people)",1.8,0.5,0.8,2.7,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By sex,Female,Visit count,547000,138000,276000,817000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By sex,Female,"Visit rate (per 1,000 people)",3.3,0.8,1.7,4.9,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By sex,Male,Visit count,263000,56000,154000,372000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Abnormal growths and tumors,By sex,Male,"Visit rate (per 1,000 people)",1.6,0.3,1,2.3,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,Total,All visits,Visit count,1584000,319000,960000,2209000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,Total,All visits,"Visit rate (per 1,000 people)",4.8,1,2.9,6.8,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By age,0-17 years old,Visit count,203000,53000,99000,306000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By age,0-17 years old,"Visit rate (per 1,000 people)",2.8,0.7,1.4,4.2,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By age,18-44 years old,Visit count,522000,119000,288000,756000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By age,18-44 years old,"Visit rate (per 1,000 people)",4.5,1,2.5,6.5,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By age,45-64 years old,Visit count,524000,97000,334000,714000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By age,45-64 years old,"Visit rate (per 1,000 people)",6.3,1.2,4,8.6,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By age,65+ years old,Visit count,336000,73000,193000,479000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By age,65+ years old,"Visit rate (per 1,000 people)",6.1,1.3,3.5,8.8,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By race/ethnicity,"Black, non-Hispanic",Visit count,406000,142000,127000,685000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By race/ethnicity,"Black, non-Hispanic","Visit rate (per 1,000 people)",10,3.5,3.2,16.8,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By race/ethnicity,Hispanic,Visit count,488000,126000,241000,735000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",7.9,2,4,11.7,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By race/ethnicity,"Other, non-Hispanic",Visit count,,,,,No
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",,,,,No
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By race/ethnicity,"White, non-Hispanic",Visit count,496000,116000,270000,723000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By race/ethnicity,"White, non-Hispanic","Visit rate (per 1,000 people)",2.6,0.6,1.4,3.7,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By sex,Female,Visit count,1129000,235000,668000,1590000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By sex,Female,"Visit rate (per 1,000 people)",6.8,1.4,4,9.6,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By sex,Male,Visit count,455000,88000,283000,628000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Blood-related and immune system diseases,By sex,Male,"Visit rate (per 1,000 people)",2.8,0.5,1.8,3.9,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",Total,All visits,Visit count,12405000,2264000,7968000,16842000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",Total,All visits,"Visit rate (per 1,000 people)",37.9,6.9,24.4,51.5,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By age,0-17 years old,Visit count,704000,171000,369000,1039000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By age,0-17 years old,"Visit rate (per 1,000 people)",9.6,2.3,5,14.1,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By age,18-44 years old,Visit count,3385000,615000,2180000,4590000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By age,18-44 years old,"Visit rate (per 1,000 people)",29.1,5.3,18.8,39.5,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By age,45-64 years old,Visit count,5261000,945000,3408000,7114000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By age,45-64 years old,"Visit rate (per 1,000 people)",63.6,11.4,41.2,86,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By age,65+ years old,Visit count,3055000,685000,1711000,4398000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By age,65+ years old,"Visit rate (per 1,000 people)",55.8,12.5,31.3,80.4,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By race/ethnicity,"Black, non-Hispanic",Visit count,2448000,861000,761000,4135000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By race/ethnicity,"Black, non-Hispanic","Visit rate (per 1,000 people)",60.3,21,19.1,101.4,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By race/ethnicity,Hispanic,Visit count,4026000,1009000,2049000,6003000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",64.9,15.9,33.8,96,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By race/ethnicity,"Other, non-Hispanic",Visit count,,,,,No
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",,,,,No
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By race/ethnicity,"White, non-Hispanic",Visit count,4588000,1011000,2605000,6570000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By race/ethnicity,"White, non-Hispanic","Visit rate (per 1,000 people)",23.6,5,13.7,33.5,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By sex,Female,Visit count,7722000,1447000,4886000,10559000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By sex,Female,"Visit rate (per 1,000 people)",46.5,8.7,29.4,63.5,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By sex,Male,Visit count,4681000,828000,3058000,6305000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Hormonal, diet, and metabolic diseases",By sex,Male,"Visit rate (per 1,000 people)",29.1,5.1,19,39.2,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",Total,All visits,Visit count,10227000,1857000,6587000,13868000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",Total,All visits,"Visit rate (per 1,000 people)",31.3,5.7,20.1,42.4,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By age,0-17 years old,Visit count,1449000,309000,844000,2054000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By age,0-17 years old,"Visit rate (per 1,000 people)",19.7,4.2,11.5,28,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By age,18-44 years old,Visit count,4407000,825000,2791000,6023000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By age,18-44 years old,"Visit rate (per 1,000 people)",37.9,7.1,24,51.8,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By age,45-64 years old,Visit count,3223000,579000,2088000,4357000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By age,45-64 years old,"Visit rate (per 1,000 people)",38.9,7,25.2,52.6,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By age,65+ years old,Visit count,1149000,209000,740000,1558000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By age,65+ years old,"Visit rate (per 1,000 people)",21,3.8,13.5,28.5,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By race/ethnicity,"Black, non-Hispanic",Visit count,1582000,472000,656000,2507000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By race/ethnicity,"Black, non-Hispanic","Visit rate (per 1,000 people)",38.9,11.3,16.7,61.1,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By race/ethnicity,Hispanic,Visit count,2059000,532000,1017000,3101000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",33.2,8.3,17,49.4,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By race/ethnicity,"Other, non-Hispanic",Visit count,331000,111000,114000,548000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",10.9,3.6,3.8,18,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By race/ethnicity,"White, non-Hispanic",Visit count,5495000,1234000,3077000,7913000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By race/ethnicity,"White, non-Hispanic","Visit rate (per 1,000 people)",28.3,6,16.5,40.1,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By sex,Female,Visit count,6268000,1117000,4079000,8456000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By sex,Female,"Visit rate (per 1,000 people)",37.7,6.7,24.5,50.9,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By sex,Male,Visit count,3957000,772000,2443000,5470000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,"Mental health, behavior and brain development disorders",By sex,Male,"Visit rate (per 1,000 people)",24.6,4.8,15.2,34,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,Total,All visits,Visit count,3321000,668000,2013000,4630000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,Total,All visits,"Visit rate (per 1,000 people)",10.2,2,6.2,14.2,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,By age,0-17 years old,Visit count,116000,23000,70000,161000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,By age,0-17 years old,"Visit rate (per 1,000 people)",1.6,0.3,1,2.2,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,By age,18-44 years old,Visit count,1036000,218000,608000,1464000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,By age,18-44 years old,"Visit rate (per 1,000 people)",8.9,1.9,5.2,12.6,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,By age,45-64 years old,Visit count,1426000,284000,868000,1983000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,By age,45-64 years old,"Visit rate (per 1,000 people)",17.2,3.4,10.5,24,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,By age,65+ years old,Visit count,744000,166000,419000,1070000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,By age,65+ years old,"Visit rate (per 1,000 people)",13.6,3,7.7,19.6,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,By race/ethnicity,"Black, non-Hispanic",Visit count,578000,201000,185000,972000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,By race/ethnicity,"Black, non-Hispanic","Visit rate (per 1,000 people)",14.2,4.9,4.7,23.8,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,By race/ethnicity,Hispanic,Visit count,727000,223000,290000,1165000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,By race/ethnicity,Hispanic,"Visit rate (per 1,000 people)",11.7,3.5,4.8,18.7,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,By race/ethnicity,"Other, non-Hispanic",Visit count,110000,38000,36000,185000,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,By race/ethnicity,"Other, non-Hispanic","Visit rate (per 1,000 people)",3.6,1.2,1.2,6.1,Yes
Jul.-Dec. 2022,Diagnosis Chapter,Diseases of the nervous system,By race/ethnicity,"White, non-Hispanic",Visit count,1730000,398000,949000,2510000,Yes
